RegDate,first_Name,last_Name,Email_Address,HomePhone,Street,City,State,Zipcode
11/12/2008 10:47:00,allison,nguyen,arannon@jumpstartlab.com,6154385000,3155 19th St NW,washington,dc,20010
11/12/2008 13:23:00,sarah,hankins,pinalevitsky@jumpstartlab.com,4145205000,2022 15th Street NW,washington,dc,20009
12/8/2008 20:31:00,sofia,murillo,lpohen@jumpstartlab.com,2023192000,"702 H St, suite 300",washington,dc,20001
12/11/2008 11:56:00,katie,baimas-george,svsullivan88@jumpstartlab.com,6085169000,1123 Harvard St. unit R,washington,dc,20009
12/19/2008 10:40:00,nate,endres,rmaiorana@jumpstartlab.com,3109024000,3332 Quesada St.,nw,dc,20015
12/19/2008 12:32:00,melanie,stevenson,jebergma@jumpstartlab.com,2022703000,3646 Warder St. NW,washington,dc,20010
12/19/2008 12:38:00,aurora,ortega,yfr42@jumpstartlab.com,2025543000,520 N St SW,washington,dc,20024
12/19/2008 12:44:00,justin,chinana,ipesha226@jumpstartlab.com,4349891000,3321 16th St NW,washington,dc,20010
12/19/2008 12:49:00,lee,sachs,bwd6273@jumpstartlab.com,2026352000,1225 Otis St NE,washington,dc,20017
12/19/2008 12:58:00,kristina,trowbridge,oumandrell@jumpstartlab.com,2024816000,"110 Maryland Ave., NE, Suite 108",washington,dc,20002
12/19/2008 13:15:00,sean,modawal,ufmPalley@jumpstartlab.com,2022327000,1718 Connecticut Ave. NW Suite 300,washington,dc,20009
12/19/2008 13:16:00,michael,murphy,bxthewsm@jumpstartlab.com,2022327000,1718 Connecticut Ave. NW Suite 300,washington,dc,20009
12/19/2008 13:19:00,callie,mclaughlin,gdacyjamesrossi2@jumpstartlab.com,2025523000,"391 Michigan Ave., NE",washington,dc,20017
12/19/2008 13:30:00,eva,rotman,cgngo8456@jumpstartlab.com,2027564000,PO Box 29132,washington,dc,20017
12/20/2008 14:05:00,donna,taylor,hmisJohnsonPS@jumpstartlab.com,2157150000,1409 37th St NW,washington,dc,20007
12/20/2008 16:43:00,dan,fraissinet,kggoyer@jumpstartlab.com,8504455000,"Box #577150, Georgetown Univ.",washington,dc,20057
1/5/2009 15:32:00,william,kristian,xokelly@jumpstartlab.com,6036615000,812 Randolph St. NW,washington,dc,20011
1/7/2009 10:57:00,jessie,kurdyla,etcooke11@jumpstartlab.com,8059075000,"2915 Connecticut Avenue, NW Apt. 207",washington,dc,20008
1/12/2009 2:55:00,sophie,lade,cpagenkn@jumpstartlab.com,3214804000,2505 13th St. NW,washington,dc,20009
1/12/2009 2:57:00,lala,leung,vsmcneal@jumpstartlab.com,5613391000,2505 13th St. NW,washington,dc,20009
1/15/2009 16:08:00,daryl,gutbrod,tknt.jamie@jumpstartlab.com,2022562000,2941 Chesapeake St NW,washington,dc,20008
1/17/2009 0:38:00,megan,craig,nslopuppet_o_o@jumpstartlab.com,9172806000,1409 37th St.,washington,dc,20007
1/18/2009 2:48:00,laura,xx,abnedoe3@jumpstartlab.com,8026594000,"2601 Woodley Place NW, Apt 813",washington,dc,20008
1/19/2009 11:22:00,jeannie,bryant,kkserpe08@jumpstartlab.com,8457973000,"2727 29th Street NW, Apt 305",washington,dc,20008
1/19/2009 11:29:00,rachel,haut,jqisten.greenwald@jumpstartlab.com,8457973000,"2727 29th Street NW, Apt. 232",washington,dc,20008
1/19/2009 11:35:00,lucia,karoluk,wonisegarcia666@jumpstartlab.com,3157500000,"2727 29th Street NW, Apt. 305",washington,dc,20008
1/19/2009 11:43:00,jenna,b,wdack.satin.feathers@jumpstartlab.com,9739021000,"2727 29th Street NW, Apt. 305",washington,dc,20008
1/19/2009 11:46:00,lucy,frick,xcott33@jumpstartlab.com,2019134000,"2727 29th Street NW, Apt. 211",washington,dc,20008
1/19/2009 11:49:00,alan,stoneking,euizabethlev@jumpstartlab.com,6462582000,"2727 29th Street NW, Apt. 529",washington,dc,20008
1/19/2009 11:52:00,vax,doe,nyesoto@jumpstartlab.com,3153917000,2727 29th Street NW,washington,dc,20008
1/19/2009 11:58:00,erik,beardsley,ngangrpl@jumpstartlab.com,2017863000,"2727 29th Street NW, Apt. 232",washington,dc,20008
1/19/2009 12:02:00,guy,halter,rdett.buikema@jumpstartlab.com,7073373000,"2727 29th Street NW, Apt. 529",washington,dc,20008
1/19/2009 12:05:00,juliette,alvarez,luroberts05@jumpstartlab.com,9733323000,"2727 29th Street NW, Apt. 323",washington,dc,20008
1/19/2009 12:07:00,fiona,mclaren,wyohr@jumpstartlab.com,3158255000,"2727 29th Street NW, Apt. 232",washington,dc,20008
1/20/2009 23:29:00,jen,peavler,wyate2@jumpstartlab.com,2406455000,"3000 Cathedral Avenue, NW",washington,dc,20008
1/20/2009 23:35:00,laura,oh,ball0166@jumpstartlab.com,2406455000,"3000 Cathedral Ave, NW",washington,dc,20008
1/20/2009 23:38:00,zack,astrove,fkolfgan@jumpstartlab.com,2406455000,"3000 Cathedral Ave, NW",washington,dc,20008
1/20/2009 23:40:00,one,fitzgerald,nplds@jumpstartlab.com,2406455000,"3000 Cathedral Ave, NW",washington,dc,20008
1/20/2009 23:43:00,meghan,vanegas,bu@jumpstartlab.com,2406455000,"3000 Cathedral Ave, NW",washington,dc,20008
1/20/2009 23:45:00,lauren,berlin,kff_wehrenjk@jumpstartlab.com,2406455000,"3000 Cathedral Ave, NW",washington,dc,20008
1/20/2009 23:48:00,allison,gracey,fhrlemail1@jumpstartlab.com,2406455000,"3000 Cathedral Ave, NW",washington,dc,20008
1/20/2009 23:50:00,lindsay,aronoff,aslissanypirg@jumpstartlab.com,2406455000,"3000 Cathedral Ave, NW",washington,dc,20008
1/20/2009 23:51:00,jennifer,avalos,deiaz@jumpstartlab.com,4435044000,3168 17th St NW,washington,dc,20010
1/20/2009 23:52:00,stephanie,baird,omani.sheva@jumpstartlab.com,2406455000,"3000 Cathedral Ave, NW",washington,dc,20008
1/20/2009 23:55:00,kendra,xx,ygalabre@jumpstartlab.com,2406455000,"3000 Cathedral Ave, NW",washington,dc,20008
1/20/2009 23:57:00,katey,benders,jdf28@jumpstartlab.com,2406455000,"3000 Cathedral Ave, NW",washington,dc,20008
1/21/2009 0:06:00,alyssa,abraham,durnetta@jumpstartlab.com,2406455000,"3000 Cathedral Ave, NW",washington,dc,20008
1/21/2009 0:09:00,sierra,langone,jbmcwilliams@jumpstartlab.com,2406455000,"3000 Cathedral Ave, NW",washington,dc,20008
1/21/2009 0:11:00,megan,j,gwlter@jumpstartlab.com,2406455000,"3000 Cathedral Ave, NW",washington,dc,20008
1/21/2009 0:14:00,adam,starodaj,fkorterfield@jumpstartlab.com,2406455000,"3000 Cathedral Ave, NW",washington,dc,20008
1/21/2009 0:16:00,roxanne,carbajo,bxlegra.fonda-bonardi@jumpstartlab.com,2406455000,"3000 Cathedral Ave, NW",washington,dc,20008
1/21/2009 0:18:00,adriana,zapfel,vemusic@jumpstartlab.com,2406455000,"3000 Cathedral Ave, NW",washington,dc,20008
1/21/2009 0:22:00,medina,cao,dkulger@jumpstartlab.com,2406455000,"3000 Cathedral Ave, NW",washington,dc,20008
1/21/2009 0:24:00,althea,xx,udsaw87@jumpstartlab.com,2406455000,"3000 Cathedral Ave, NW",washington,dc,20008
1/21/2009 14:57:00,ryan,debuck,ghyce_m@jumpstartlab.com,2406455000,3000 Cathedral Ave NW,washington,dc,20008
1/21/2009 15:18:00,jenny,barrett,ym1106a@jumpstartlab.com,5152314000,4201 Massachusetts Ave NW,washington,dc,20016
1/21/2009 15:27:00,monica,wilson,rblary@jumpstartlab.com,2012085000,4400 Massachusetts Ave NW,washington,dc,20016
1/21/2009 15:41:00,sandy,mike-bidtah,sytrm6@jumpstartlab.com,2036876000,4400 Massachusetts Ave NW,washington,dc,20016
1/21/2009 15:47:00,jacob,two,cyvid@jumpstartlab.com,2155275000,4400 Massachusetts Ave NW,washington,dc,20016
1/21/2009 15:51:00,erika,guilbeault,qt336707@jumpstartlab.com,8563091000,4400 Massachusetts Ave NW,washington,dc,20016
1/21/2009 15:55:00,rachel,kazyak,lpmberly.upstill07@jumpstartlab.com,7174059000,4400 Massachusetts Ave NW,washington,dc,20016
1/21/2009 15:58:00,alejandro,anderson,sydy0314@jumpstartlab.com,9144417000,4400 Massachusetts Ave NW,washington,dc,20016
1/21/2009 16:02:00,jennifer,silva,qpfox@jumpstartlab.com,2024577000,4400 Massachusetts Ave NW,washington,dc,20016
1/21/2009 16:03:00,madeline,shamel,wq1luv@jumpstartlab.com,3016545000,"3825 Wisconsin Avenue, NW",washington,dc,20016
